GC_RPG,CULTURE,Surface_ha,cell,rupromax,rupromin,rupro,hcc,pro
1,Ble,5.77358359897163,8520,186.94,186.94,187.71,37.16,82
1,Ble,5.72109988423183,8516,76.6,76.6,76.6,34.24,40
1,Ble,4.45150211281402,8516,76.6,76.6,76.6,34.24,40
1,Ble,3.00709370011493,8427,216.6,76.6,112.4,33.91,60
1,Ble,10.4267455120618,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.312929165802058,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.4937937070627,8426,76.6,76.6,76.6,34.24,40
1,Ble,1.49248013694501,8512,81.85,76.6,79.8,34.2,42
1,Ble,1.87872259420054,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.863360516778828,8517,76.6,76.6,76.6,34.24,40
1,Ble,0.907940650914182,8511,216.6,76.6,95.59,34.06,51
1,Ble,11.9703927496846,8520,186.94,186.94,187.71,37.16,82
1,Ble,5.21406989445942,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.476916910421825,8426,76.6,76.6,76.6,34.24,40
1,Ble,4.48543664610466,8516,76.6,76.6,76.6,34.24,40
1,Ble,2.25619474638632,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.469276916701027,8426,76.6,76.6,76.6,34.24,40
1,Ble,1.13693321199991,8518,216.6,76.6,146.35,34.25,76
1,Ble,10.3148745503515,8518,216.6,76.6,146.35,34.25,76
1,Ble,0.490581962995274,8516,76.6,76.6,76.6,34.24,40
1,Ble,0.444098802688772,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.180675821870494,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.888169637695677,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.202025781364674,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.38319760549069,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.067858666712679,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.130807784392269,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.138134150942746,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.548414237415468,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.40405800429587,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.571508421578466,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.401195745052537,8518,216.6,76.6,146.35,34.25,76
1,Ble,1.55263506524124,8430,216.6,186.94,183.8,36.39,84
1,Ble,0.0800880985907384,8430,216.6,186.94,183.8,36.39,84
1,Ble,0.104951331387016,8430,216.6,186.94,183.8,36.39,84
1,Ble,0.548435566714473,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.0542307394707193,8519,216.6,186.94,187.76,36.3,87
1,Ble,0.741584131733592,8516,76.6,76.6,76.6,34.24,40
1,Ble,0.18220539292445,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.102270925060099,8519,216.6,186.94,187.76,36.3,87
1,Ble,0.0633848267851298,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.0982856805275094,8518,216.6,76.6,146.35,34.25,76
1,Ble,0.606959819453343,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.0597535613936478,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.196646794245037,8519,216.6,186.94,187.76,36.3,87
1,Ble,0.0844520033165357,8519,216.6,186.94,187.76,36.3,87
1,Ble,0.165946287533512,8430,216.6,186.94,183.8,36.39,84
1,Ble,0.400985547241132,8605,86.22,76.6,81.69,34.14,43
1,Ble,0.439654044137464,8603,86.22,76.6,81.35,34.14,43
1,Ble,0.198598591103798,8602,86.22,76.6,89.57,34.05,48
1,Ble,0.173871148577641,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.432562118731468,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.138904724328579,8606,86.22,76.6,81.37,34.14,43
1,Ble,0.138904724328579,8606,86.22,76.6,81.37,34.14,43
1,Ble,0.210540198590893,8512,81.85,76.6,79.8,34.2,42
1,Ble,0.210540198590893,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.509497001422016,8515,76.6,76.6,76.96,34.24,40
1,Ble,0.100196080921825,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.416975940643113,8512,81.85,76.6,79.8,34.2,42
1,Ble,1.17713847292155,8515,76.6,76.6,76.96,34.24,40
1,Ble,0.0516817584181288,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.105552895735294,8512,81.85,76.6,79.8,34.2,42
1,Ble,0.105552895735294,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.373168611138277,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.208068551112871,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.371675588468149,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.0523995575244887,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.0794589796331318,8512,81.85,76.6,79.8,34.2,42
1,Ble,0.331354584733395,8512,81.85,76.6,79.8,34.2,42
1,Ble,0.701504104819122,8512,81.85,76.6,79.8,34.2,42
1,Ble,0.375708221590414,8603,86.22,76.6,81.35,34.14,43
1,Ble,0.333089400451436,8515,76.6,76.6,76.96,34.24,40
1,Ble,0.35042954051466,8515,76.6,76.6,76.96,34.24,40
1,Ble,0.2057701784211,8515,76.6,76.6,76.96,34.24,40
1,Ble,0.310376302955705,8515,76.6,76.6,76.96,34.24,40
1,Ble,0.528605989313108,8514,81.85,76.6,77.39,34.23,40
1,Ble,0.228648854606552,8512,81.85,76.6,79.8,34.2,42
1,Ble,0.144040460316555,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.509290797056898,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.955831977137805,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.85668337734261,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.216045138813439,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.473455375307101,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.365836980838552,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.30183195148101,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.626580022769368,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.464000097833373,8603,86.22,76.6,81.35,34.14,43
1,Ble,0.25535450256452,8515,76.6,76.6,76.96,34.24,40
1,Ble,0.79290021975743,8515,76.6,76.6,76.96,34.24,40
1,Ble,1.5519892327039,8606,86.22,76.6,81.37,34.14,43
1,Ble,1.5519892327039,8606,86.22,76.6,81.37,34.14,43
1,Ble,0.296483807163525,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.475421468817609,8512,81.85,76.6,79.8,34.2,42
1,Ble,0.475421468817609,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.201355163206536,8511,216.6,76.6,95.59,34.06,51
1,Ble,1.08992753419783,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.211361477604836,8602,86.22,76.6,89.57,34.05,48
1,Ble,0.250316794098113,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.0895611513128054,8605,86.22,76.6,81.69,34.14,43
1,Ble,0.607669494032774,8512,81.85,76.6,79.8,34.2,42
1,Ble,0.237924737894439,8512,81.85,76.6,79.8,34.2,42
1,Ble,0.502525831887096,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.31734469222119,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.0865735775924773,8602,86.22,76.6,89.57,34.05,48
1,Ble,0.114639079961873,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.66439347390523,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.374490911983634,8605,86.22,76.6,81.69,34.14,43
1,Ble,0.374490911983634,8606,86.22,76.6,81.37,34.14,43
1,Ble,0.75068388889545,8603,86.22,76.6,81.35,34.14,43
1,Ble,0.212672517722593,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.272424282836469,8514,81.85,76.6,77.39,34.23,40
1,Ble,0.100024450791588,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.233842050539709,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.149442802392471,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.17904279011409,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.340839003108245,8602,86.22,76.6,89.57,34.05,48
1,Ble,0.0928830092776749,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.393184080911057,8513,81.85,76.6,80.48,34.2,42
1,Ble,3.33260021685172,8513,81.85,76.6,80.48,34.2,42
1,Ble,0.411576933635665,8514,81.85,76.6,77.39,34.23,40
1,Ble,0.593098145286289,8514,81.85,76.6,77.39,34.23,40
1,Ble,0.0618983475477464,8605,86.22,76.6,81.69,34.14,43
1,Ble,0.209822219088314,8605,86.22,76.6,81.69,34.14,43
1,Ble,0.601913382802806,8514,81.85,76.6,77.39,34.23,40
1,Ble,0.172921282218172,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.253386442706742,8511,216.6,76.6,95.59,34.06,51
1,Ble,0.134843741149025,8515,76.6,76.6,76.96,34.24,40
